Product,Year,Month,Week,Quantity,Avg_cost,Standart_price,Category,Holiday,Temp_Hi,Temp_Lo,Temp_Rain
7290003029181,2018,8,35,711,7.92,7.92,100192,0,31.67,24.33,0
7290000408316,2018,8,35,1721,2.33,2.33,100214,0,31.67,24.33,0
7290002824183,2018,8,35,934,6.27,6.27,100200,0,31.67,24.33,0
7290004125509,2018,8,35,1704,1.09,1.09,100222,0,31.67,24.33,0
5906485301012,2018,8,35,5760,1.75,1.80,100336,0,31.67,24.33,0
7290000688732,2018,8,35,702,8.49,8.49,100359,0,31.67,24.33,0
7290004554781,2018,8,35,8809,1.47,1.47,103560,0,31.67,24.33,0
7290004127336,2018,8,35,1110,4.02,4.02,100204,0,31.67,24.33,0
7290107647762,2018,8,35,386,12.63,12.63,102939,0,31.67,24.33,0
7290005839313,2018,8,35,1343,3.06,3.06,100228,0,31.67,24.33,0
86,2018,8,35,1810,3.36,3.36,100398,0,31.67,24.33,0
7290004554330,2018,8,35,5615,1.47,1.47,103560,0,31.67,24.33,0
7290008645935,2018,8,35,1198,8.38,6.87,100466,0,31.67,24.33,0
7290001045220,2018,8,35,421,16.96,16.96,100594,0,31.67,24.33,0
7290000408354,2018,8,35,2257,2.75,2.97,100216,0,31.67,24.33,0
7290004125738,2018,8,35,1697,4.35,4.21,100233,0,31.67,24.33,0
7290002390220,2018,8,35,3469,0.76,0.76,100405,0,31.67,24.33,0
7290011017866,2018,8,35,6432,2.02,2.23,103240,0,31.67,24.33,0
72940761,2018,8,35,4299,1.91,1.91,100228,0,31.67,24.33,0
7290003029433,2018,8,35,2033,3.57,3.57,100191,0,31.67,24.33,0
7290003321155,2018,8,35,2061,2.75,2.97,100216,0,31.67,24.33,0
7290000057118,2018,8,35,543,16.22,14.87,100211,0,31.67,24.33,0
7290000043111,2018,8,35,1121,5.51,5.51,100198,0,31.67,24.33,0
7290005838002,2018,8,35,1591,2.75,2.75,100416,0,31.67,24.33,0
7290011017873,2018,8,35,4896,2.02,2.23,103240,0,31.67,24.33,0
7290004122195,2018,8,35,804,9.46,9.18,100211,0,31.67,24.33,0
7290004127800,2018,8,35,766,6.46,6.46,100200,0,31.67,24.33,0
7290000041445,2018,8,35,3390,4.02,4.02,100204,0,31.67,24.33,0
17,2018,8,35,4027,3.65,3.65,100400,0,31.67,24.33,0
7290002331322,2018,8,35,3978,7.87,7.48,100359,0,31.67,24.33,0
7290000042442,2018,8,35,2240,4.14,4.14,100188,0,31.67,24.33,0
7290000043814,2018,8,35,1736,4.06,4.06,100233,0,31.67,24.33,0
7290001201596,2018,8,35,1800,7.50,7.50,100321,0,31.67,24.33,0
7290002065555,2018,8,35,1076,7.73,7.73,100405,0,31.67,24.33,0
7290000066318,2018,8,35,1840,2.77,2.77,100381,0,31.67,24.33,0
7290107932080,2018,8,35,2308,5.28,5.28,100845,0,31.67,24.33,0
7290004584528,2018,8,35,1333,2.33,2.33,100214,0,31.67,24.33,0
379432,2018,8,35,3920,1.33,1.33,100405,0,31.67,24.33,0
7290004923099,2018,8,35,779,8.34,8.34,100359,0,31.67,24.33,0
7290000048185,2018,8,35,1177,3.23,3.23,100200,0,31.67,24.33,0
7290003457953,2018,8,35,1904,6.09,6.09,103560,0,31.67,24.33,0
7290004127329,2018,8,35,2965,4.02,4.02,100204,0,31.67,24.33,0
7290000178707,2018,8,35,1587,2.02,2.02,100379,0,31.67,24.33,0
7290002390046,2018,8,35,1049,4.47,4.47,100399,0,31.67,24.33,0
7290000046327,2018,8,35,768,8.79,8.53,100211,0,31.67,24.33,0
7290011194246,2018,8,35,3016,4.31,4.31,100204,0,31.67,24.33,0
7290004120832,2018,8,35,1045,8.28,8.28,100188,0,31.67,24.33,0
7290002824640,2018,8,35,1623,3.15,3.15,100200,0,31.67,24.33,0
7290014940901,2018,8,35,737,8.10,8.68,100404,0,31.67,24.33,0
7290002871361,2018,8,35,3400,4.35,4.35,103417,0,31.67,24.33,0
7290000041858,2018,8,34,2229,1.75,1.75,100222,0,31.57,24.43,0
379609,2018,8,34,1365,2.43,2.43,100405,0,31.57,24.43,0
7290008645935,2018,8,34,1093,8.38,6.87,100466,0,31.57,24.43,0
379432,2018,8,34,3133,1.33,1.33,100405,0,31.57,24.43,0
7290008909877,2018,8,34,730,31.88,30.88,103238,0,31.57,24.43,0
7290011133450,2018,8,34,1600,1.04,1.04,100538,0,31.57,24.43,0
7290005839313,2018,8,34,1283,3.06,3.06,100228,0,31.57,24.43,0
7290000057477,2018,8,34,1152,6.21,6.21,100188,0,31.57,24.43,0
7290000042015,2018,8,34,4991,3.74,3.74,100581,0,31.57,24.43,0
7290004554330,2018,8,34,1550,1.47,1.47,103560,0,31.57,24.43,0
7290000379104,2018,8,34,5489,4.97,4.97,100399,0,31.57,24.43,0
72940761,2018,8,34,4416,1.91,1.91,100228,0,31.57,24.43,0
7290000688381,2018,8,34,622,7.30,6.57,100360,0,31.57,24.43,0
7290107647762,2018,8,34,496,12.63,12.63,102939,0,31.57,24.43,0
7290005838002,2018,8,34,1518,2.75,2.75,100416,0,31.57,24.43,0
7290003029433,2018,8,34,1839,3.57,3.57,100191,0,31.57,24.43,0
7290002390220,2018,8,34,4565,0.76,0.76,100405,0,31.57,24.43,0
7290004122195,2018,8,34,760,9.46,9.18,100211,0,31.57,24.43,0
86,2018,8,34,1462,3.36,3.36,100398,0,31.57,24.43,0
7290000043814,2018,8,34,1616,4.06,4.06,100233,0,31.57,24.43,0
7290002824183,2018,8,34,792,6.27,6.27,100200,0,31.57,24.43,0
7290000408316,2018,8,34,1818,2.33,2.33,100214,0,31.57,24.43,0
7290000042442,2018,8,34,2281,4.14,4.14,100188,0,31.57,24.43,0
7290004125400,2018,8,34,1272,1.09,1.09,100221,0,31.57,24.43,0
7290004127336,2018,8,34,1177,4.02,4.02,100204,0,31.57,24.43,0
7290002871361,2018,8,34,5925,4.35,4.35,103417,0,31.57,24.43,0
7290003029181,2018,8,34,919,7.90,7.92,100192,0,31.57,24.43,0
7290011018313,2018,8,34,700,18.89,18.89,100329,0,31.57,24.43,0
7290008713184,2018,8,34,934,6.20,5.90,100406,0,31.57,24.43,0
7290000688732,2018,8,34,144,8.49,8.49,100359,0,31.57,24.43,0
5906485301012,2018,8,34,4560,1.75,1.80,100336,0,31.57,24.43,0
7290004131074,2018,8,34,14230,4.14,4.14,100188,0,31.57,24.43,0
7290002390046,2018,8,34,1002,4.47,4.47,100399,0,31.57,24.43,0
7290005201882,2018,8,34,24,12.00,13.36,100303,0,31.57,24.43,0
7290004554781,2018,8,34,1550,1.47,1.47,103560,0,31.57,24.43,0
7290004125417,2018,8,34,1584,1.00,1.00,100220,0,31.57,24.43,0
7290000042435,2018,8,34,987,3.92,3.92,100188,0,31.57,24.43,0
7290000042404,2018,8,34,931,4.37,4.37,100581,0,31.57,24.43,0
7290002065555,2018,8,34,922,7.49,7.73,100405,0,31.57,24.43,0
7290003119110,2018,8,34,1920,31.88,30.88,103238,0,31.57,24.43,0
7290003457953,2018,8,34,320,6.09,6.09,103560,0,31.57,24.43,0
7290003029815,2018,8,34,841,10.54,10.54,100845,0,31.57,24.43,0
7290002331322,2018,8,34,5547,7.88,7.48,100359,0,31.57,24.43,0
7290000408354,2018,8,34,1729,2.75,2.97,100216,0,31.57,24.43,0
7290000211503,2018,8,34,2581,2.32,2.20,100243,0,31.57,24.43,0
7290004125509,2018,8,34,1956,1.09,1.09,100222,0,31.57,24.43,0
7290107932080,2018,8,34,2128,5.26,5.28,100845,0,31.57,24.43,0
7290004127329,2018,8,34,3119,4.02,4.02,100204,0,31.57,24.43,0
7290004125455,2018,8,34,2736,1.61,1.61,100222,0,31.57,24.43,0
7290003321155,2018,8,34,1538,2.75,2.97,100216,0,31.57,24.43,0
7290000056845,2018,8,34,1381,6.21,6.21,100188,0,31.57,24.43,0
7290013027368,2018,8,34,2486,2.84,2.84,100405,0,31.57,24.43,0
7290004584528,2018,8,34,1221,2.33,2.33,100214,0,31.57,24.43,0
7290000041445,2018,8,34,3440,4.02,4.02,100204,0,31.57,24.43,0
7290011017873,2018,8,34,2137,2.02,2.23,103240,0,31.57,24.43,0
7290001594155,2018,8,34,3600,3.44,3.44,103240,0,31.57,24.43,0
7290004125738,2018,8,34,924,4.35,4.21,100233,0,31.57,24.43,0
7290000046327,2018,8,34,684,8.79,8.53,100211,0,31.57,24.43,0
7290011017866,2018,8,34,4224,2.02,2.23,103240,0,31.57,24.43,0
7290014940901,2018,8,34,602,8.25,8.68,100404,0,31.57,24.43,0
7290000066318,2018,8,34,1360,2.77,2.77,100381,0,31.57,24.43,0
7290000043111,2018,8,34,760,5.51,5.51,100198,0,31.57,24.43,0
7290006764072,2018,8,34,1925,3.75,3.75,103417,0,31.57,24.43,0
7290002824640,2018,8,34,1477,3.15,3.15,100200,0,31.57,24.43,0
7290004923099,2018,8,34,1219,8.34,8.34,100359,0,31.57,24.43,0
7290011194246,2018,8,34,2496,4.31,4.31,100204,0,31.57,24.43,0
7290000057118,2018,8,34,182,16.22,14.87,100211,0,31.57,24.43,0
7290001045220,2018,8,34,479,16.96,16.96,100594,0,31.57,24.43,0
7290000178707,2018,8,34,2060,2.02,2.02,100379,0,31.57,24.43,0
7290001201596,2018,8,34,1472,7.50,7.50,100321,0,31.57,24.43,0
7290004127800,2018,8,34,762,6.46,6.46,100200,0,31.57,24.43,0
7290003029792,2018,8,34,830,13.82,13.82,100194,0,31.57,24.43,0
17,2018,8,34,3341,3.65,3.65,100400,0,31.57,24.43,0
7290004120832,2018,8,34,853,8.28,8.28,100188,0,31.57,24.43,0
7290000048185,2018,8,34,1078,3.23,3.23,100200,0,31.57,24.43,0
72940761,2018,8,33,4370,1.91,1.91,100228,0,31.57,24.29,0
7290004125738,2018,8,33,1052,4.35,4.21,100233,0,31.57,24.29,0
7290000408354,2018,8,33,1847,2.84,2.97,100216,0,31.57,24.29,0
7290003029433,2018,8,33,1856,3.57,3.57,100191,0,31.57,24.29,0
7290004554330,2018,8,33,1900,1.47,1.47,103560,0,31.57,24.29,0
7290001045220,2018,8,33,410,16.96,16.96,100594,0,31.57,24.29,0
7290003321155,2018,8,33,1908,2.84,2.97,100216,0,31.57,24.29,0
7290008645935,2018,8,33,1097,6.87,6.87,100466,0,31.57,24.29,0
86,2018,8,33,1855,3.36,3.36,100398,0,31.57,24.29,0
7290011017866,2018,8,33,3048,2.02,2.23,103240,0,31.57,24.29,0
7290000043111,2018,8,33,820,5.51,5.51,100198,0,31.57,24.29,0
7290005838002,2018,8,33,1334,2.75,2.75,100416,0,31.57,24.29,0
7290002390220,2018,8,33,2853,0.76,0.76,100405,0,31.57,24.29,0
7290001201596,2018,8,33,1632,7.50,7.50,100321,0,31.57,24.29,0
7290000057118,2018,8,33,780,16.22,14.87,100211,0,31.57,24.29,0
7290002331322,2018,8,33,3815,7.88,7.48,100359,0,31.57,24.29,0
7290011017873,2018,8,33,2281,2.02,2.23,103240,0,31.57,24.29,0
17,2018,8,33,3585,3.65,3.65,100400,0,31.57,24.29,0
7290004127800,2018,8,33,651,6.46,6.46,100200,0,31.57,24.29,0
7290004122195,2018,8,33,712,9.46,9.18,100211,0,31.57,24.29,0
7290000041445,2018,8,33,3084,4.02,4.02,100204,0,31.57,24.29,0
7290000042442,2018,8,33,2968,4.14,4.14,100188,0,31.57,24.29,0
7290000178707,2018,8,33,1224,2.02,2.02,100379,0,31.57,24.29,0
379432,2018,8,33,3533,1.33,1.33,100405,0,31.57,24.29,0
7290000043814,2018,8,33,1220,4.06,4.06,100233,0,31.57,24.29,0
7290004923099,2018,8,33,1119,8.34,8.34,100359,0,31.57,24.29,0
7290000066318,2018,8,33,1895,2.77,2.77,100381,0,31.57,24.29,0
7290003457953,2018,8,33,898,6.09,6.09,103560,0,31.57,24.29,0
7290107932080,2018,8,33,2344,4.49,5.28,100845,0,31.57,24.29,0
7290002871361,2018,8,33,2640,4.35,4.35,103417,0,31.57,24.29,0
7290000048185,2018,8,33,1080,3.23,3.23,100200,0,31.57,24.29,0
7290003029815,2018,8,33,677,10.54,10.54,100845,0,31.57,24.29,0
7290002065555,2018,8,33,1038,6.74,7.73,100405,0,31.57,24.29,0
7290011194246,2018,8,33,2660,4.31,4.31,100204,0,31.57,24.29,0
7290014940901,2018,8,33,603,8.68,8.68,100404,0,31.57,24.29,0
7290004127329,2018,8,33,3539,4.02,4.02,100204,0,31.57,24.29,0
7290002390046,2018,8,33,892,4.47,4.47,100399,0,31.57,24.29,0
7290004120832,2018,8,33,1069,8.28,8.28,100188,0,31.57,24.29,0
7290004584528,2018,8,33,1451,2.33,2.33,100214,0,31.57,24.29,0
7290002824640,2018,8,33,1689,3.15,3.15,100200,0,31.57,24.29,0
7290000046327,2018,8,33,628,8.79,8.53,100211,0,31.57,24.29,0
5906485301012,2018,8,33,9552,1.75,1.80,100336,0,31.57,24.29,0
7290000211503,2018,8,33,2212,2.32,2.20,100243,0,31.57,24.29,0
7290000042015,2018,8,33,5072,3.74,3.74,100581,0,31.57,24.29,0
7290004131074,2018,8,33,12816,4.14,4.14,100188,0,31.57,24.29,0
7290003119110,2018,8,33,1406,31.88,30.88,103238,0,31.57,24.29,0
7290005201882,2018,8,33,1250,12.00,13.36,100303,0,31.57,24.29,0
7290008713184,2018,8,33,847,6.20,5.90,100406,0,31.57,24.29,0
7290013027368,2018,8,33,2462,2.84,2.84,100405,0,31.57,24.29,0
7290107647762,2018,8,33,344,12.63,12.63,102939,0,31.57,24.29,0
7290011018313,2018,8,33,534,18.89,18.89,100329,0,31.57,24.29,0
7290011133450,2018,8,33,4140,1.04,1.04,100538,0,31.57,24.29,0
7290000042435,2018,8,33,927,3.92,3.92,100188,0,31.57,24.29,0
7290004125400,2018,8,33,1344,1.09,1.09,100221,0,31.57,24.29,0
7290004125417,2018,8,33,1632,1.00,1.00,100220,0,31.57,24.29,0
7290004125455,2018,8,33,3060,1.61,1.61,100222,0,31.57,24.29,0
7290001594155,2018,8,33,2208,3.44,3.44,103240,0,31.57,24.29,0
7290000056845,2018,8,33,1712,6.21,6.21,100188,0,31.57,24.29,0
379609,2018,8,33,1293,2.43,2.43,100405,0,31.57,24.29,0
7290004125509,2018,8,33,1956,1.09,1.09,100222,0,31.57,24.29,0
7290003029792,2018,8,33,791,13.82,13.82,100194,0,31.57,24.29,0
7290006764072,2018,8,33,3486,3.75,3.75,103417,0,31.57,24.29,0
7290000057477,2018,8,33,676,6.21,6.21,100188,0,31.57,24.29,0
7290000379104,2018,8,33,5721,4.97,4.97,100399,0,31.57,24.29,0
7290003029181,2018,8,33,882,6.90,7.92,100192,0,31.57,24.29,0
7290000688381,2018,8,33,686,7.30,6.57,100360,0,31.57,24.29,0
7290000042404,2018,8,33,965,4.37,4.37,100581,0,31.57,24.29,0
7290000688732,2018,8,33,835,8.49,8.49,100359,0,31.57,24.29,0
7290004554781,2018,8,33,2400,1.47,1.47,103560,0,31.57,24.29,0
7290002824183,2018,8,33,820,6.27,6.27,100200,0,31.57,24.29,0
7290000041858,2018,8,33,2458,1.75,1.75,100222,0,31.57,24.29,0
7290004127336,2018,8,33,1015,4.02,4.02,100204,0,31.57,24.29,0
7290005839313,2018,8,33,1402,3.06,3.06,100228,0,31.57,24.29,0
7290008909877,2018,8,33,572,31.88,30.88,103238,0,31.57,24.29,0
7290000408316,2018,8,33,1577,2.33,2.33,100214,0,31.57,24.29,0
