Customer_ID,Weeknum,Product,Customer_Number,Sum_Quantity,Avg_Price_Change,Avg_Price_Change_1,Sum_Quantity_1_minus_Sum_Quantity,Avg_Quantity_for_Week,Avg_Quantity_for_PO,All_week,Count_week_PO,Standard_Price,Above_Standard_Price,Below_Standard_Price,Total_Quantity_for_Customer,Total_Quantity,Holiday,Temp_Hi,Temp_Lo,Temp_Rain,Frequency_PO,Sum_Quantity_1_Y
0.0053,31,7290000408354,416000002,12,2.97,2.97,-12,3.55,8.67,22,9,2.97,0,0,67778,12757437,0,31.71,24.14,0,2.44,0
0.0053,34,7290000408354,416000002,0,2.97,2.75,12,3.55,8.67,22,9,2.97,0,1,67778,12757437,0,31.57,24.43,0,2.44,12
0.0056,11,7290000408354,416000005,4,2.97,2.97,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,21.57,11.29,0,1.35,4
0.0056,12,7290000408354,416000005,4,2.97,2.97,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,30.29,12.29,0,1.35,4
0.0056,13,7290000408354,416000005,4,2.97,2.97,4,3.83,5.18,23,17,2.97,0,0,71258,12757437,1,24.86,14.43,0,1.35,8
0.0056,14,7290000408354,416000005,8,2.97,2.97,8,3.83,5.18,23,17,2.97,0,0,71258,12757437,1,25.71,13.43,0,1.35,8
0.0056,15,7290000408354,416000005,8,2.97,2.97,-8,3.83,5.18,23,17,2.97,0,0,71258,12757437,1,23.43,14.57,1,1.35,0
0.0056,16,7290000408354,416000005,0,2.97,2.97,4,3.83,5.18,23,17,2.97,0,1,71258,12757437,1,26.86,17.57,0,1.35,4
0.0056,17,7290000408354,416000005,4,2.97,2.97,-4,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,24.14,15.29,1,1.35,0
0.0056,19,7290000408354,416000005,0,2.97,2.97,8,3.83,5.18,23,17,2.97,0,1,71258,12757437,0,27.29,18.29,0,1.35,8
0.0056,20,7290000408354,416000005,8,2.97,2.97,-8,3.83,5.18,23,17,2.97,0,0,71258,12757437,1,31.86,19,0,1.35,0
0.0056,21,7290000408354,416000005,0,2.97,2.97,4,3.83,5.18,23,17,2.97,0,1,71258,12757437,1,33.14,21.14,0,1.35,4
0.0056,22,7290000408354,416000005,4,2.97,2.97,4,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,28.43,21.29,0,1.35,8
0.0056,23,7290000408354,416000005,8,2.97,2.97,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,29.71,21.43,0,1.35,4
0.0056,24,7290000408354,416000005,4,2.97,2.97,-4,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,32.29,21.29,0,1.35,0
0.0056,25,7290000408354,416000005,0,2.97,2.97,4,3.83,5.18,23,17,2.97,0,1,71258,12757437,0,30.71,22.71,0,1.35,4
0.0056,26,7290000408354,416000005,4,2.97,2.97,-4,3.83,5.18,23,17,2.97,0,0,71258,12757437,1,26.29,19.57,0,1.35,0
0.0056,28,7290000408354,416000005,0,2.97,2.97,8,3.83,5.18,23,17,2.97,0,1,71258,12757437,0,32.14,23.86,0,1.35,8
0.0056,29,7290000408354,416000005,8,2.97,2.97,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,1,32,24.43,0,1.35,4
0.0056,30,7290000408354,416000005,4,2.97,2.97,0,3.83,5.18,23,17,2.97,0,0,71258,12757437,0,33,24.71,0,1.35,4
